"scrape_datetime","etf_ticker","etf_name","holdings_date","ticker","isin","security_name","security_type","shares","value","pct_assets"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","TRGP","US87612G1013","TARGA RESOURCES CORP","Common Stock","63762.0","6957071.82","0.0045"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","MUSA","US6267551025","MURPHY USA INC","Common Stock","16881.0","6953621.52","0.0045"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","GDDY","US3802371076","GODADDY INC CL A","Common Stock","57843.0","6894307.17","0.0044"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","KEY","US4932671088","KEYCORP","Common Stock","474066.0","6869216.34","0.0044"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","NTNX","US67059N1081","NUTANIX INC CL A","Common Stock","108285.0","6741824.1","0.0043"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","CROX","US2270461096","CROCS INC","Common Stock","50974.0","6713785.54","0.0043"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","NFG","US6361801011","NATIONAL FUEL GAS CO NJ","Common Stock","128626.0","6694983.3","0.0043"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","HRB","US0936711052","BLOCK H & R INC","Common Stock","138600.0","6564096.0","0.0042"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","AMP","US03076C1062","AMERIPRISE FINANCIAL INC","Common Stock","14741.0","6323741.59","0.0041"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","PYPL","US70450Y1038","PAYPAL HLDGS INC","Common Stock","98045.0","6177815.45","0.004"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","STT","US8574771031","STATE STREET CORP","Common Stock","83769.0","6083304.78","0.0039"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","PEGA","US7055731035","PEGASYSTEMS INC","Common Stock","94320.0","6062889.6","0.0039"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","DBX","US26210C1045","DROPBOX INC CL A","Common Stock","245432.0","6020446.96","0.0039"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","VRT","US92537N1081","VERTIV HOLDINGS CO","Common Stock","77887.0","6001972.22","0.0038"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ZM","US98980L1017","ZOOM VIDEO COMMUNICATIONS INC","Common Stock","89377.0","5946251.81","0.0038"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","WEC","US92939U1060","WEC ENERGY GROUP INC","Common Stock","71870.0","5821470.0","0.0037"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","CLX","US1890541097","CLOROX CO","Common Stock","37885.0","5818757.15","0.0037"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","XPO","US9837931008","XPO INC","Common Stock","47865.0","5802195.3","0.0037"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","VICI","US9256521090","VICI PPTYS INC","Common Stock","198889.0","5761814.33","0.0037"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","MOH","US60855R1005","MOLINA HEALTHCARE INC","Common Stock","13425.0","5632190.25","0.0036"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","ZS","US98980G1022","ZSCALER INC","Common Stock","28823.0","5627402.52","0.0036"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","PK","US7005171050","PARK HOTELS & RESORTS INC","Common Stock","313042.0","5406235.34","0.0035"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","AFRM","US00827B1061","AFFIRM HOLDINGS INC","Common Stock","155775.0","5283888.0","0.0034"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","TXG","US88025U1097","10X GENOMICS INC","Common Stock","138696.0","5191391.28","0.0033"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","KBR","US48242W1062","KBR INC","Common Stock","85609.0","5173351.87","0.0033"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","UTHR","US91307C1027","UNITED THERAPEUTICS CORP DEL","Common Stock","21577.0","5165533.8","0.0033"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","AES","US00130H1059","AES CORP","Common Stock","330929.0","5142636.66","0.0033"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","CNC","US15135B1017","CENTENE CORP","Common Stock","62822.0","4944091.4","0.0032"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","WTW","IE00BDB6Q211","WILLIS TOWERS WATSON PLC","Common Stock","18068.0","4931479.92","0.0032"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","SF","US8606301021","STIFEL FINANCIAL CORP","Common Stock","66266.0","4914949.22","0.0032"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","LEN","US5260571048","LENNAR CORP CL A","Common Stock","30551.0","4877161.64","0.0031"
"2024-03-21 10:10:23.237274","FMDE","Fidelity Enhanced Mid Cap ETF","03-19-2024","FANG","US25278X1090","DIAMONDBACK ENERGY INC","Common Stock","25197.0","4853446.14","0.0031"
